location_info,location_href,upload_id,date_text,date_time,date_title,main_text,comment
,,three.yulmom,2020년 12월 14일,2020-12-14T01:10:45.000Z,2020년 12월 14일,"#대전을지대학교병원
#건강검진
#위내시경검사
#난제정신인거같은데
#헤롱헤롱🌀
#힘듦😭
#배고파죽겠다😱

언니때문에 확실히가림ㅋㅋㅋㅋㅋㅋ",{}
대전을지대학교병원,https://www.instagram.com/explore/locations/804823696/,raryan_mom,2017년 9월 25일,2017-09-25T06:34:11.000Z,2017년 9월 25일,"가슴을 몇번이나 쓸어내렸던 지난한달.. 아무런 이상없이 건강하던 신랑이..
건강검진 복부 초음파 검사중..
신장에서 악성종양이 발견됨..
큰병원 가보라는 말에 대학병원을 두군데나 가봤으나..
두군데 모두 암일확률이 90%라는 진단..
가슴이 철렁하고 정말 하늘이 무너져내리는 심정..
불행중 다행이도 초기여서 수술만으로도 치료가 가능하다고 했고..
다만 4cm정도의 작지않은 사이즈로..
복강경이나 로봇수술은 어렵고 개복수술로 15cm정도는 열어야한다는..
그래두 천만다행이라는 심정으로 3일전 수술대에 오른 신랑..
기다리는내내 나의 맘은 진정이 되지않아 울다 기다리기를 반복..몇번이나 지옥을 왔다갔다함.. 정말 감사하게도 수술은 특별한 이상없이 너무 잘 되었고..
2틀내내 일어 나지도 못했던 신랑은..
나를 또 한번 가슴조리게 했지만..
수술후 3일이 지난 오늘..
정말 거짓말처럼 스스로 일어나서 걸어다니기까지..
내가 나일롱 아니였냐며 의심할정도로 빠른 회복을 보여준신랑.. 정말 어렵고 힘든 시간을 함께하니 좀더 잘해줘야겠다는 마음도..잠시(?)ㅋ
조금씩 예전처럼 티격태격 한다는건 안비밀..😜
그래도 지금함께 웃으며 옆에함께 할수 있다는게 너무 행복하고..
이행복이 이젠 우리아이들과 영원할수 있게 더더 노력하자고 다짐해본다..👨‍👩‍👦‍👦
.
.
.
#대전을지대학교병원#신세포암#수술#성공적#이제우리#행복할일만남았다#식단관리#건강관리는이제내몫#아프니#더어리광쟁이큰아들이된신랑#그래두좋다#얼른회복해서#퇴원하자#부부스타그램#아들스타그램#형제스타그램👬","{""1"": {""comment_id"": ""nee0847"", ""comment_text"": ""\uace0\uc0dd\ud588\uc5b4. \uae00\uc5d0 \uc624\ud0c0\uc788\uc74c \uae30\ub2e4\uae30\ub2e4 \u314b\u314b""}, ""2"": {""comment_id"": ""a_ha_joy"", ""comment_text"": ""\uc815\ub9d0 \ub2e4\ud589\uc774\uc5d0\uc6a9\u3160\u3160 \uc5b8\ub2c8\uac00 \uc606\uc5d0\uc11c \ub118 \uace0\uc0dd\uc774 \ub9ce\uc558\uaca0\uc5b4\uc694~ \uc55e\uc73c\ub85c\ub3c4 \ub354 \ub9ce\uc774 \uae30\ub3c4\ud560\uac8c\uc6a9^^ \uc790\uafb8 \uc2e0\ub791\uc774 \uc606\uc5d0\uc11c \uc5b8\ub2c8\uac00 \ub118 \uc608\uc058\ub2e4\uace0\ud574\uc11c \uc800\ud76c\ub3c4 \ud2f0\uaca9\ud0dc\uaca9\uc911\uc694 \u314b\u314b\u314b""}}"
대전을지대학교병원,https://www.instagram.com/explore/locations/804823696/,raryan_mom,2017년 9월 25일,2017-09-25T06:34:11.000Z,2017년 9월 25일,"가슴을 몇번이나 쓸어내렸던 지난한달.. 아무런 이상없이 건강하던 신랑이..
건강검진 복부 초음파 검사중..
신장에서 악성종양이 발견됨..
큰병원 가보라는 말에 대학병원을 두군데나 가봤으나..
두군데 모두 암일확률이 90%라는 진단..
가슴이 철렁하고 정말 하늘이 무너져내리는 심정..
불행중 다행이도 초기여서 수술만으로도 치료가 가능하다고 했고..
다만 4cm정도의 작지않은 사이즈로..
복강경이나 로봇수술은 어렵고 개복수술로 15cm정도는 열어야한다는..
그래두 천만다행이라는 심정으로 3일전 수술대에 오른 신랑..
기다리는내내 나의 맘은 진정이 되지않아 울다 기다리기를 반복..몇번이나 지옥을 왔다갔다함.. 정말 감사하게도 수술은 특별한 이상없이 너무 잘 되었고..
2틀내내 일어 나지도 못했던 신랑은..
나를 또 한번 가슴조리게 했지만..
수술후 3일이 지난 오늘..
정말 거짓말처럼 스스로 일어나서 걸어다니기까지..
내가 나일롱 아니였냐며 의심할정도로 빠른 회복을 보여준신랑.. 정말 어렵고 힘든 시간을 함께하니 좀더 잘해줘야겠다는 마음도..잠시(?)ㅋ
조금씩 예전처럼 티격태격 한다는건 안비밀..😜
그래도 지금함께 웃으며 옆에함께 할수 있다는게 너무 행복하고..
이행복이 이젠 우리아이들과 영원할수 있게 더더 노력하자고 다짐해본다..👨‍👩‍👦‍👦
.
.
.
#대전을지대학교병원#신세포암#수술#성공적#이제우리#행복할일만남았다#식단관리#건강관리는이제내몫#아프니#더어리광쟁이큰아들이된신랑#그래두좋다#얼른회복해서#퇴원하자#부부스타그램#아들스타그램#형제스타그램👬","{""1"": {""comment_id"": ""nee0847"", ""comment_text"": ""\uace0\uc0dd\ud588\uc5b4. \uae00\uc5d0 \uc624\ud0c0\uc788\uc74c \uae30\ub2e4\uae30\ub2e4 \u314b\u314b""}, ""2"": {""comment_id"": ""a_ha_joy"", ""comment_text"": ""\uc815\ub9d0 \ub2e4\ud589\uc774\uc5d0\uc6a9\u3160\u3160 \uc5b8\ub2c8\uac00 \uc606\uc5d0\uc11c \ub118 \uace0\uc0dd\uc774 \ub9ce\uc558\uaca0\uc5b4\uc694~ \uc55e\uc73c\ub85c\ub3c4 \ub354 \ub9ce\uc774 \uae30\ub3c4\ud560\uac8c\uc6a9^^ \uc790\uafb8 \uc2e0\ub791\uc774 \uc606\uc5d0\uc11c \uc5b8\ub2c8\uac00 \ub118 \uc608\uc058\ub2e4\uace0\ud574\uc11c \uc800\ud76c\ub3c4 \ud2f0\uaca9\ud0dc\uaca9\uc911\uc694 \u314b\u314b\u314b""}}"
대전을지대학교병원,https://www.instagram.com/explore/locations/804823696/,raryan_mom,2017년 9월 25일,2017-09-25T06:34:11.000Z,2017년 9월 25일,"가슴을 몇번이나 쓸어내렸던 지난한달.. 아무런 이상없이 건강하던 신랑이..
건강검진 복부 초음파 검사중..
신장에서 악성종양이 발견됨..
큰병원 가보라는 말에 대학병원을 두군데나 가봤으나..
두군데 모두 암일확률이 90%라는 진단..
가슴이 철렁하고 정말 하늘이 무너져내리는 심정..
불행중 다행이도 초기여서 수술만으로도 치료가 가능하다고 했고..
다만 4cm정도의 작지않은 사이즈로..
복강경이나 로봇수술은 어렵고 개복수술로 15cm정도는 열어야한다는..
그래두 천만다행이라는 심정으로 3일전 수술대에 오른 신랑..
기다리는내내 나의 맘은 진정이 되지않아 울다 기다리기를 반복..몇번이나 지옥을 왔다갔다함.. 정말 감사하게도 수술은 특별한 이상없이 너무 잘 되었고..
2틀내내 일어 나지도 못했던 신랑은..
나를 또 한번 가슴조리게 했지만..
수술후 3일이 지난 오늘..
정말 거짓말처럼 스스로 일어나서 걸어다니기까지..
내가 나일롱 아니였냐며 의심할정도로 빠른 회복을 보여준신랑.. 정말 어렵고 힘든 시간을 함께하니 좀더 잘해줘야겠다는 마음도..잠시(?)ㅋ
조금씩 예전처럼 티격태격 한다는건 안비밀..😜
그래도 지금함께 웃으며 옆에함께 할수 있다는게 너무 행복하고..
이행복이 이젠 우리아이들과 영원할수 있게 더더 노력하자고 다짐해본다..👨‍👩‍👦‍👦
.
.
.
#대전을지대학교병원#신세포암#수술#성공적#이제우리#행복할일만남았다#식단관리#건강관리는이제내몫#아프니#더어리광쟁이큰아들이된신랑#그래두좋다#얼른회복해서#퇴원하자#부부스타그램#아들스타그램#형제스타그램👬","{""1"": {""comment_id"": ""nee0847"", ""comment_text"": ""\uace0\uc0dd\ud588\uc5b4. \uae00\uc5d0 \uc624\ud0c0\uc788\uc74c \uae30\ub2e4\uae30\ub2e4 \u314b\u314b""}, ""2"": {""comment_id"": ""a_ha_joy"", ""comment_text"": ""\uc815\ub9d0 \ub2e4\ud589\uc774\uc5d0\uc6a9\u3160\u3160 \uc5b8\ub2c8\uac00 \uc606\uc5d0\uc11c \ub118 \uace0\uc0dd\uc774 \ub9ce\uc558\uaca0\uc5b4\uc694~ \uc55e\uc73c\ub85c\ub3c4 \ub354 \ub9ce\uc774 \uae30\ub3c4\ud560\uac8c\uc6a9^^ \uc790\uafb8 \uc2e0\ub791\uc774 \uc606\uc5d0\uc11c \uc5b8\ub2c8\uac00 \ub118 \uc608\uc058\ub2e4\uace0\ud574\uc11c \uc800\ud76c\ub3c4 \ud2f0\uaca9\ud0dc\uaca9\uc911\uc694 \u314b\u314b\u314b""}}"
,,eulji_insta,2020년 8월 11일,2020-08-11T08:15:29.000Z,2020년 8월 11일,"유튜브 을지TV, Eulji_Insta가 오픈한 지 이제 막 3개월이 지났습니다😆
을지가족들을 대상으로 이벤트가 열렸는데요~~
⠀
바쁜 을지가족들에게
을지의 온라인홍보 채널을 홍보하기 위한 오프라인 이벤트🎁
⠀
깜빡 잊고 있던 구독과 팔로우도 하고
보고 싶은 콘텐츠 설문조사도 하고
깜짝 뽑기 선물, 인증기념 커피쿠폰, 음료 증정 등으로
이벤트 현장이 후끈후끈🔥🔥
⠀
바쁜 일과에도 참여해주신 을지가족 여러분,
감사해요!
⠀
다음 이벤트는 다시 온라인에서 열립니다!
언제인지는 우리끼리 비밀이니까🤫
⠀
혹시 옆자리에 아직도 구독과 팔로우 하지 않은
을지가족이 있다면 옆구리 쿡!!!
💙함께 해요, 을지💙
⠀
⠀
#이벤트 #을지이벤트 #병원이벤트 #노원을지대학교병원 #대전을지대학교병원 #을지대학교 #성남 #캠퍼스 #을지피플 #을지가족 #이벤트스케치 #이벤트현장 #단합 #뽑기 #서프라이즈 #을지TV",{}
Gimcheon,https://www.instagram.com/explore/locations/264862653/gimcheon/,golta_9110,5월 25일,2021-05-25T01:33:51.000Z,2021년 5월 25일,"김천 제일병원 ➡️ 대전 을지대학교병원

환자분은 혈복강, 비장파열 환자분이셨습니다.

혈복강이란?
복강 내에 출혈이 발생한 것을 말합니다.

비장파열이란?
비장을 둘러싸고 있던 막이 찢어져 복부로 피가 쏟아지는 증상을 말합니다.

환자분의 빠른 쾌유를 빕니다.

저희 경북골든타임 응급환자이송센터 김천지점은
""1출동 1소독""을
원칙으로하여 철저히 방역을 실시하고 있습니다!
구급차 이용시 걱정하지 마시고
안전하고 신속하게 모셔다 드리겠습니다!^^

🔴항상 환자를 내 가족처럼!🔴
생각하며 환자분들을 이송 시 불편함이 없도록
노력하고, 생각하며
보다 좋은 서비스를 보여드리겠습니다!

🔵경북골든타임 응급환자이송센터 김천지점🔵
✔️김천 제일병원 특수구급차 위탁운영 계약업체
✔️김천요양병원 환자이송 협력업체
✔️김천 감문휴요양병원 환자이송 협력업체
✔️김천상무프로축구단 공식응급지원업체
✔️김천소방서 지원협력업체
✔️한국전력기술 김천본사 환자이송 지원업체
✔️김천시청 해외입국자 이송 계약
✔️칠곡군청 해외입국자 이송 계약

-구급차 문의 시-

🏪경북골든타임 응급환자이송센터 김천지점🚑

-응급환자이송🚑
-병원~병원이송🚑
-병원↔자택 이송🚑
-병원 외래진료 이송🚑
-알코올중독환자 이송🚑
-정신질환자 이송🚑
-각종 행사 의료지원🚑
-고인 이송🚑

⚕이용문의 ⚕

📞054-439-9110📞
📞010-7932-0991📞

인스타 ID : golta_9110

위의 번호로 ""문자나 전화""
인스타로 ""DM""을 보내주시면
친절하고 빠른 답변과 함께
신속하고 안전하게 모시러 가겠습니다!","{""1"": {""comment_id"": ""golta_9110"", ""comment_text"": ""\ud83d\ude91""}}"
,,dustv123,2017년 9월 20일,2017-09-19T15:07:24.000Z,2017년 9월 20일,"조용하네ㅋ 낼파업한다고하던데
3일만에집간다ㅠ 병실은 잠만자는곳 오늘도 몰래 지하상가갖다옴ㅎㅎ #대전#대전을지대학교병원#복도#병실#조용#둔산동#밤#배고픔#낼간다#집#3일#비타민#라면#지하상가#행복하다#몰래#파업#중앙로#지하철","{""1"": {""comment_id"": ""kkaelong_ine"", ""comment_text"": ""\uc798\ubcf4\uace0\uac00\uc694""}, ""2"": {""comment_id"": ""byeolvely_89"", ""comment_text"": ""\ud5d0\u315c\u315c \ubcc4\uc77c\ub2e4\uc788\ub124\uc694...""}}"
,,hi.ryubly,2020년 10월 23일,2020-10-23T14:33:11.000Z,2020년 10월 23일,"#Reposted from
@eulji_insta 🔎숨은 단어를 찾아라! EVENT
⠀
Q. 을지대학교병원은 현재 서울‘○○구’와
‘○○광역시’에 위치하고 있으며
2021년에는 ‘○○○’에서 개원 예정입니다.

이 3개의 지역은 어디일까요?
(초성 Hint. ①ㄴㅇ ②ㄷㅈ ③ㅇㅈㅂ)
⠀
퍼즐에서 찾은 정답을 댓글로 달아주세요!👀
정답을 맞추신 분들께는 추첨을 통해 선물을 드립니다.
(이벤트 당첨확률 Up 하려면? → @친구 소환하고 친구들도 을지인스타 팔로우하기!)
⠀
---------------------------
[이벤트 기간]
10월 16일(금) ~ 10월 23일(금) (총 7일)
⠀
[당첨자 발표일]
11월 6일(금)
⠀
[경품]
GS25 모바일 상품권 2만 원 권
⠀
[선발 인원]
25명
⠀
⠀
⠀
⠀
※ 이벤트 유의사항 - 당첨자 발표 후 연락이 되지 않을 경우, 개인 정보 미회신시 자동으로 당첨이 취소될 수 있습니다.
- 제공된 개인 정보는 경품 발송 외에 어떠한 용도로도 사용되지 않으며 이벤트 종료 후 파기 됩니다.
-중복 당첨 시 당첨 상품은 1회만 지급하며, 중복 지급하지 않습니다.
⠀
⠀
#이벤트 #을지퀴즈 #퀴즈이벤트 #핵이득 #을지피플 #노원을지대학교병원 #대전을지대학교병원 #을지대학교 #이어서 #의정부을지대학교병원 #2021년3월1일개원 - #regrann",{}
,,lovelee7191,2020년 1월 9일,2020-01-09T13:21:06.000Z,2020년 1월 9일,"⠀
⠀
새벽에 남펴니 응급실이란 연락받고 급하게 윤서맡기고 모유수유하는 이서준비시켜서 엄마랑 대전올라감.
검사결과나와서 퇴원수속 및 연차받은 오늘은 편하게쉬라고 근처 호텔룸예약해주고 밥먹고 차한잔..
그러곤 들여보낸후 난 운전해서 다시 대구..
⠀
와따... 몸이 내려앉은것같다...
⠀
#대전을지대학교병원#응급실#요로결석
#119실려갔다더니#세상멀쩡해짐#내가곧#기절각
#내몸이녹아내림
⠀","{""1"": {""comment_id"": ""dongchae.83"", ""comment_text"": ""\ub180\ub7ac\uaca0\uc5b4\uc694\u315c\u315c...\ud734 \uace0\uc0dd\ud588\ub124\uc694""}}"
대전을지대학교병원,https://www.instagram.com/explore/locations/804823696/,dustv123,2017년 9월 20일,2017-09-20T08:20:09.000Z,2017년 9월 20일,"을지대병원 파업 실화?ㅋㅋ
티비보고있었는데 의자옮기면서 나감ㅋ #대전#둔산동#대전을지대학교병원#파업#복잡#시끌#불편
작년에이어또?#난장판#놀라운광경#환자#구경거리#을지대학병원#티비#의자#을지대학교병원",{}
